date,latitude,longitude,country_name,admin_division_name,risk_class
,16.6252,80.61279999999998,india,Andhra Pradesh,Low
,23.7327,92.7463,india,Mizoram,High
,33.144018,75.54563999999998,india,Jammu and Kashmir,Medium
,11.329547,76.801586,india,Tamil Nadu,High
,32.3665,77.0857,india,Himachal Pradesh,Low
,15.4838,73.8164,india,Goa,Low
,34.2601,75.4466,india,Jammu and Kashmir,Medium
,30.7292,78.4396,india,Uttaranchal,High
,24.75,93.4333,india,Manipur,High
,12.8806,75.0327,india,Karnataka,Medium
,14.42827957,74.41606625,india,Karnataka,High
,11.2695,76.2227,india,Kerala,High
,33.5808,74.90349999999998,india,Jammu and Kashmir,Low
,31.1054,77.1727,india,Himachal Pradesh,High
,11.81,78.2253,india,Tamil Nadu,High
,33.63251807,75.23162005999998,india,Jammu and Kashmir,Medium
,11.3484,76.7937,india,Tamil Nadu,Medium
,27.1344,88.45749999999998,india,Sikkim,Low
,27.3765,88.7628,india,Sikkim,High
,11.2529052,75.78662828,india,Kerala,High
,30.262,79.21909999999998,india,Uttaranchal,High
,31.9671,76.8521,india,Himachal Pradesh,Low
,9.5527,76.9299,india,Kerala,Low
,34.40393623,74.26149296,india,Jammu and Kashmir,Medium
,24.2315,92.6755,india,Mizoram,Low
,30.2733,79.233,india,Uttaranchal,High
,27.1176,88.10689999999998,india,West Bengal,High
,30.4238,79.67239999999998,india,Uttaranchal,Low
,30.81507336,78.2242533,india,Uttaranchal,High
,11.2993,76.9354,india,Tamil Nadu,High
,27.4,92.35,india,Arunachal Pradesh,Low
,25.0604,93.9877,india,Manipur,Low
,26.49349035,91.72137514,india,Assam,High
,24.7992,93.948,india,Manipur,High
,27.14163897,93.66495709,india,Arunachal Pradesh,High
,8.25053724,77.26519094000001,india,Tamil Nadu,Medium
,14.7395,74.2566,india,Karnataka,Medium
,33.4341,75.1923,india,Jammu and Kashmir,Medium
,30.89221723,77.09003076,india,Himachal Pradesh,Low
,30.1665,78.1123,india,Uttaranchal,Medium
,34.5382,74.2493,india,Jammu and Kashmir,Low
,27.2872,88.28159999999998,india,Sikkim,Low
,26.1498,94.6055,india,Nagaland,Medium
,33.0977,75.5787,india,Jammu and Kashmir,Medium
,32.3491,77.2181,india,Himachal Pradesh,Medium
,33.24788762,75.21401709,india,Jammu and Kashmir,High
,27.1034,93.6885,india,Arunachal Pradesh,Medium
,33.0107,74.9397,india,Jammu and Kashmir,High
,30.4,79.349,india,Uttaranchal,Low
,30.6494,79.5269,india,Uttaranchal,High
,33.9344,74.65659999999998,india,Jammu and Kashmir,Medium
,27.1141,88.4658,india,Sikkim,Low
,34.0942,74.02259999999998,india,Jammu and Kashmir,Low
,26.8712,88.3052,india,West Bengal,Low
,9.8012,76.90059999999998,india,Kerala,High
,15.5063,73.8362,india,Goa,Medium
,25.8266,94.1497,india,Nagaland,Low
,24.3481,94.1146,india,Manipur,Low
,32.26186432,78.0685005,india,Himachal Pradesh,Low
,27.0875,88.4572,india,West Bengal,High
,33.38281992,75.20064617,india,Jammu and Kashmir,High
,30.5728,77.6521,india,Himachal Pradesh,Medium
,28.4298,95.8776,india,Arunachal Pradesh,High
,25.67295037,94.10513916999999,india,Nagaland,Low
,10.0545,78.02979999999998,india,Tamil Nadu,Medium
,33.264400460000005,75.18641667,india,Jammu and Kashmir,Low
,31.1263,77.3525,india,Himachal Pradesh,Low
,19.3379,73.7767,india,Maharashtra,High
,10.05487169,77.03736623999998,india,Kerala,Medium
,25.1555,93.8474,india,Manipur,High
,19.6241,72.9084,india,Maharashtra,High
,31.2077,77.193,india,Himachal Pradesh,Medium
,27.1614,93.7525,india,Arunachal Pradesh,Low
,24.3527,94.3429,india,Manipur,Low
,14.7822,74.2279,india,Karnataka,Medium
,33.17598419,75.81088889,india,Jammu and Kashmir,Low
,19.1008,84.0502,india,Orissa,Medium
,34.219,77.26649999999998,india,Jammu and Kashmir,Medium
,9.76821399,77.10872714999998,india,Kerala,High
,9.22979437,76.85092557999998,india,Kerala,Medium
,19.5178,83.18089999999998,india,Orissa,High
,25.52,91.27,india,Meghalaya,Low
,33.0365,74.4889,india,Jammu and Kashmir,Low
,24.2451,94.0691,india,Manipur,Low
,24.1077,94.0396,india,Manipur,Low
,26.1771,91.7599,india,Assam,High
,32.9522,75.1533,india,Jammu and Kashmir,Low
,9.9903,76.7898,india,Kerala,Medium
,24.7505,93.4221,india,Manipur,Medium
,18.7833,73.47029999999998,india,Maharashtra,Medium
,19.0263,72.86759999999998,india,Maharashtra,High
,34.08325186,74.84254061,india,Jammu and Kashmir,Low
,34.1114,77.5874,india,Jammu and Kashmir,Low
,28.1193,95.1645,india,Arunachal Pradesh,Low
,26.1964,91.7652,india,Assam,High
,26.7225,95.0281,india,Nagaland,Medium
,26.8727,94.9275,india,Nagaland,Medium
,26.95147008,93.86686394,india,Assam,Low
,23.40991836,93.36421745,india,Mizoram,Medium
,16.5172,80.6024,india,Andhra Pradesh,Medium
,26.4333,94.8833,india,Nagaland,High
,25.6263,94.10570000000001,india,Nagaland,High
,31.5168,78.0976,india,Himachal Pradesh,High
,26.882115220000003,88.3195318,india,West Bengal,High
,30.3797,78.5017,india,Uttaranchal,Low
,31.587,78.315,india,Himachal Pradesh,High
,30.3214,78.03189999999998,india,Uttaranchal,Medium
,16.94054188,73.46485294,india,Maharashtra,Low
,32.351,77.2234,india,Himachal Pradesh,Medium
,31.1066,77.209,india,Himachal Pradesh,Medium
,11.86932069,75.90546189,india,Kerala,Medium
