date,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,latitude,longitude,elevation,slope,land_cover
2020-01-01,20.0,9.2,9.2,11.0,2.25,20.5937,78.9629,248,2.7802884578704834,
2020-01-02,19.1,9.0,9.0,8.0,1.68,20.5937,78.9629,248,2.7802884578704834,
2020-01-03,20.0,1.9,1.9,4.0,2.46,20.5937,78.9629,248,2.7802884578704834,
2020-01-04,19.8,0.2,0.2,2.0,2.43,20.5937,78.9629,248,2.7802884578704834,
2020-01-05,18.3,0.0,0.0,0.0,3.52,20.5937,78.9629,248,2.7802884578704834,
2020-01-06,18.0,0.0,0.0,0.0,3.34,20.5937,78.9629,248,2.7802884578704834,
2020-01-07,20.0,0.0,0.0,0.0,2.08,20.5937,78.9629,248,2.7802884578704834,
2020-01-08,20.2,19.7,19.7,20.0,1.36,20.5937,78.9629,248,2.7802884578704834,
2020-01-09,21.0,1.4,1.4,4.0,3.11,20.5937,78.9629,248,2.7802884578704834,
2020-01-10,16.8,0.0,0.0,0.0,3.44,20.5937,78.9629,248,2.7802884578704834,
2020-01-11,15.8,0.0,0.0,0.0,3.31,20.5937,78.9629,248,2.7802884578704834,
2020-01-12,16.9,0.0,0.0,0.0,3.3,20.5937,78.9629,248,2.7802884578704834,
2020-01-13,18.7,0.0,0.0,0.0,3.4,20.5937,78.9629,248,2.7802884578704834,
2020-01-14,20.2,0.0,0.0,0.0,3.47,20.5937,78.9629,248,2.7802884578704834,
2020-01-15,22.3,0.0,0.0,0.0,3.97,20.5937,78.9629,248,2.7802884578704834,
2020-01-16,22.6,0.0,0.0,0.0,3.81,20.5937,78.9629,248,2.7802884578704834,
2020-01-17,22.3,0.2,0.2,2.0,2.52,20.5937,78.9629,248,2.7802884578704834,
2020-01-18,21.9,0.4,0.4,3.0,2.78,20.5937,78.9629,248,2.7802884578704834,
2020-01-19,21.4,0.4,0.4,3.0,2.92,20.5937,78.9629,248,2.7802884578704834,
2020-01-20,20.6,0.0,0.0,0.0,3.6,20.5937,78.9629,248,2.7802884578704834,
2020-01-21,22.6,0.2,0.2,2.0,3.16,20.5937,78.9629,248,2.7802884578704834,
2020-01-22,23.7,0.3,0.3,3.0,3.4,20.5937,78.9629,248,2.7802884578704834,
2020-01-23,23.6,0.2,0.2,2.0,3.35,20.5937,78.9629,248,2.7802884578704834,
2020-01-24,22.3,0.0,0.0,0.0,3.96,20.5937,78.9629,248,2.7802884578704834,
2020-01-25,23.0,0.0,0.0,0.0,3.98,20.5937,78.9629,248,2.7802884578704834,
2020-01-26,22.3,0.0,0.0,0.0,4.14,20.5937,78.9629,248,2.7802884578704834,
2020-01-27,23.5,0.0,0.0,0.0,4.31,20.5937,78.9629,248,2.7802884578704834,
2020-01-28,25.4,0.0,0.0,0.0,5.0,20.5937,78.9629,248,2.7802884578704834,
2020-01-29,23.1,0.0,0.0,0.0,3.85,20.5937,78.9629,248,2.7802884578704834,
2020-01-30,21.7,0.0,0.0,0.0,4.23,20.5937,78.9629,248,2.7802884578704834,
2020-01-31,20.5,0.0,0.0,0.0,4.51,20.5937,78.9629,248,2.7802884578704834,
2020-02-01,19.6,0.7,0.7,3.0,2.95,20.5937,78.9629,248,2.7802884578704834,
2020-02-02,20.7,0.2,0.2,2.0,3.72,20.5937,78.9629,248,2.7802884578704834,
2020-02-03,21.7,0.2,0.2,2.0,3.52,20.5937,78.9629,248,2.7802884578704834,
2020-02-04,23.4,1.6,1.6,9.0,3.43,20.5937,78.9629,248,2.7802884578704834,
2020-02-05,22.7,0.2,0.2,2.0,3.24,20.5937,78.9629,248,2.7802884578704834,
2020-02-06,22.3,2.9,2.9,11.0,2.93,20.5937,78.9629,248,2.7802884578704834,
2020-02-07,20.9,0.8,0.8,2.0,2.38,20.5937,78.9629,248,2.7802884578704834,
2020-02-08,20.3,0.1,0.1,1.0,2.75,20.5937,78.9629,248,2.7802884578704834,
2020-02-09,19.6,0.0,0.0,0.0,3.95,20.5937,78.9629,248,2.7802884578704834,
2020-02-10,20.2,0.0,0.0,0.0,4.03,20.5937,78.9629,248,2.7802884578704834,
2020-02-11,21.8,0.0,0.0,0.0,4.29,20.5937,78.9629,248,2.7802884578704834,
2020-02-12,22.4,0.0,0.0,0.0,4.4,20.5937,78.9629,248,2.7802884578704834,
2020-02-13,23.3,0.0,0.0,0.0,4.47,20.5937,78.9629,248,2.7802884578704834,
2020-02-14,23.8,0.0,0.0,0.0,4.84,20.5937,78.9629,248,2.7802884578704834,
2020-02-15,23.7,0.0,0.0,0.0,4.83,20.5937,78.9629,248,2.7802884578704834,
2020-02-16,24.1,0.0,0.0,0.0,5.17,20.5937,78.9629,248,2.7802884578704834,
2020-02-17,24.0,0.0,0.0,0.0,5.72,20.5937,78.9629,248,2.7802884578704834,
2020-02-18,23.3,0.0,0.0,0.0,5.68,20.5937,78.9629,248,2.7802884578704834,
2020-02-19,24.1,0.0,0.0,0.0,5.23,20.5937,78.9629,248,2.7802884578704834,
2020-02-20,26.0,0.0,0.0,0.0,5.45,20.5937,78.9629,248,2.7802884578704834,
2020-02-21,26.8,0.1,0.1,1.0,5.13,20.5937,78.9629,248,2.7802884578704834,
2020-02-22,26.8,0.1,0.1,1.0,4.49,20.5937,78.9629,248,2.7802884578704834,
2020-02-23,27.6,0.0,0.0,0.0,5.19,20.5937,78.9629,248,2.7802884578704834,
2020-02-24,27.0,0.0,0.0,0.0,5.12,20.5937,78.9629,248,2.7802884578704834,
2020-02-25,24.9,0.0,0.0,0.0,5.17,20.5937,78.9629,248,2.7802884578704834,
2020-02-26,24.0,0.0,0.0,0.0,5.49,20.5937,78.9629,248,2.7802884578704834,
2020-02-27,24.5,0.0,0.0,0.0,5.44,20.5937,78.9629,248,2.7802884578704834,
2020-02-28,25.4,0.0,0.0,0.0,5.66,20.5937,78.9629,248,2.7802884578704834,
2020-02-29,26.3,0.0,0.0,0.0,5.44,20.5937,78.9629,248,2.7802884578704834,
2020-03-01,26.8,0.0,0.0,0.0,5.43,20.5937,78.9629,248,2.7802884578704834,
2020-03-02,27.4,0.0,0.0,0.0,4.51,20.5937,78.9629,248,2.7802884578704834,
2020-03-03,27.9,0.0,0.0,0.0,5.96,20.5937,78.9629,248,2.7802884578704834,
2020-03-04,26.8,0.0,0.0,0.0,6.0,20.5937,78.9629,248,2.7802884578704834,
2020-03-05,26.0,0.0,0.0,0.0,5.45,20.5937,78.9629,248,2.7802884578704834,
2020-03-06,26.1,2.6,2.6,3.0,4.86,20.5937,78.9629,248,2.7802884578704834,
2020-03-07,26.7,0.0,0.0,0.0,5.49,20.5937,78.9629,248,2.7802884578704834,
2020-03-08,27.1,0.0,0.0,0.0,4.99,20.5937,78.9629,248,2.7802884578704834,
2020-03-09,27.0,0.5,0.5,4.0,4.65,20.5937,78.9629,248,2.7802884578704834,
2020-03-10,27.6,1.1,1.1,5.0,4.1,20.5937,78.9629,248,2.7802884578704834,
2020-03-11,27.9,0.9,0.9,6.0,5.0,20.5937,78.9629,248,2.7802884578704834,
2020-03-12,28.6,0.0,0.0,0.0,5.26,20.5937,78.9629,248,2.7802884578704834,
2020-03-13,27.5,4.5,4.5,7.0,4.98,20.5937,78.9629,248,2.7802884578704834,
2020-03-14,26.2,4.1,4.1,4.0,4.16,20.5937,78.9629,248,2.7802884578704834,
2020-03-15,27.4,0.0,0.0,0.0,5.61,20.5937,78.9629,248,2.7802884578704834,
2020-03-16,27.8,0.0,0.0,0.0,5.42,20.5937,78.9629,248,2.7802884578704834,
2020-03-17,28.0,1.8,1.8,5.0,5.12,20.5937,78.9629,248,2.7802884578704834,
2020-03-18,26.9,1.4,1.4,6.0,4.34,20.5937,78.9629,248,2.7802884578704834,
2020-03-19,28.0,3.5,3.5,2.0,5.87,20.5937,78.9629,248,2.7802884578704834,
2020-03-20,27.6,0.0,0.0,0.0,5.68,20.5937,78.9629,248,2.7802884578704834,
2020-03-21,28.1,0.0,0.0,0.0,6.09,20.5937,78.9629,248,2.7802884578704834,
2020-03-22,27.7,0.0,0.0,0.0,6.05,20.5937,78.9629,248,2.7802884578704834,
2020-03-23,29.0,0.0,0.0,0.0,5.89,20.5937,78.9629,248,2.7802884578704834,
2020-03-24,30.2,0.0,0.0,0.0,5.54,20.5937,78.9629,248,2.7802884578704834,
2020-03-25,30.4,0.0,0.0,0.0,5.52,20.5937,78.9629,248,2.7802884578704834,
2020-03-26,29.9,0.0,0.0,0.0,5.54,20.5937,78.9629,248,2.7802884578704834,
2020-03-27,31.2,0.0,0.0,0.0,6.31,20.5937,78.9629,248,2.7802884578704834,
2020-03-28,29.9,0.2,0.2,1.0,5.42,20.5937,78.9629,248,2.7802884578704834,
2020-03-29,30.1,0.0,0.0,0.0,5.46,20.5937,78.9629,248,2.7802884578704834,
2020-03-30,30.3,0.0,0.0,0.0,5.33,20.5937,78.9629,248,2.7802884578704834,
2020-03-31,31.0,0.0,0.0,0.0,5.87,20.5937,78.9629,248,2.7802884578704834,
2020-04-01,30.9,0.0,0.0,0.0,6.28,20.5937,78.9629,248,2.7802884578704834,
2020-04-02,30.7,0.0,0.0,0.0,6.3,20.5937,78.9629,248,2.7802884578704834,
2020-04-03,31.4,0.0,0.0,0.0,6.18,20.5937,78.9629,248,2.7802884578704834,
2020-04-04,31.7,0.0,0.0,0.0,6.46,20.5937,78.9629,248,2.7802884578704834,
2020-04-05,30.7,0.0,0.0,0.0,5.58,20.5937,78.9629,248,2.7802884578704834,
2020-04-06,31.6,0.0,0.0,0.0,5.88,20.5937,78.9629,248,2.7802884578704834,
2020-04-07,31.5,0.0,0.0,0.0,6.69,20.5937,78.9629,248,2.7802884578704834,
2020-04-08,31.4,0.0,0.0,0.0,7.3,20.5937,78.9629,248,2.7802884578704834,
2020-04-09,31.0,0.0,0.0,0.0,7.16,20.5937,78.9629,248,2.7802884578704834,
2020-04-10,31.1,0.0,0.0,0.0,6.84,20.5937,78.9629,248,2.7802884578704834,
2020-04-11,32.1,0.0,0.0,0.0,6.47,20.5937,78.9629,248,2.7802884578704834,
2020-04-12,32.9,0.0,0.0,0.0,6.65,20.5937,78.9629,248,2.7802884578704834,
2020-04-13,32.9,0.0,0.0,0.0,6.58,20.5937,78.9629,248,2.7802884578704834,
2020-04-14,33.5,0.0,0.0,0.0,6.62,20.5937,78.9629,248,2.7802884578704834,
2020-04-15,33.5,0.0,0.0,0.0,6.51,20.5937,78.9629,248,2.7802884578704834,
2020-04-16,33.9,0.0,0.0,0.0,7.33,20.5937,78.9629,248,2.7802884578704834,
2020-04-17,34.3,0.0,0.0,0.0,7.77,20.5937,78.9629,248,2.7802884578704834,
2020-04-18,34.1,0.0,0.0,0.0,7.18,20.5937,78.9629,248,2.7802884578704834,
2020-04-19,33.1,0.7,0.7,1.0,6.03,20.5937,78.9629,248,2.7802884578704834,
2020-04-20,33.3,0.0,0.0,0.0,7.12,20.5937,78.9629,248,2.7802884578704834,
2020-04-21,34.6,0.0,0.0,0.0,8.89,20.5937,78.9629,248,2.7802884578704834,
2020-04-22,33.7,0.0,0.0,0.0,7.09,20.5937,78.9629,248,2.7802884578704834,
2020-04-23,34.6,0.0,0.0,0.0,7.94,20.5937,78.9629,248,2.7802884578704834,
2020-04-24,34.3,0.0,0.0,0.0,7.56,20.5937,78.9629,248,2.7802884578704834,
2020-04-25,34.8,0.0,0.0,0.0,8.95,20.5937,78.9629,248,2.7802884578704834,
2020-04-26,33.7,0.0,0.0,0.0,8.43,20.5937,78.9629,248,2.7802884578704834,
2020-04-27,33.0,0.0,0.0,0.0,7.56,20.5937,78.9629,248,2.7802884578704834,
2020-04-28,31.2,0.0,0.0,0.0,6.28,20.5937,78.9629,248,2.7802884578704834,
2020-04-29,32.9,0.0,0.0,0.0,6.62,20.5937,78.9629,248,2.7802884578704834,
2020-04-30,33.9,0.0,0.0,0.0,6.73,20.5937,78.9629,248,2.7802884578704834,
2020-05-01,33.9,0.0,0.0,0.0,6.84,20.5937,78.9629,248,2.7802884578704834,
2020-05-02,35.6,0.0,0.0,0.0,7.15,20.5937,78.9629,248,2.7802884578704834,
